Basis,Method,X,Angle,Energy,nab,nai,nij
dz,mp3b,1.6,14,-0.03366091473135552,2121,921,196
dz,mp3d,1.6,14,-0.04825114305459313,2121,921,196
dz,mp2a,1.6,13,-2.1662487067494003,2122,919,198
dz,mp2b,1.6,13,-2.195216588967731,2122,919,198
dz,mp3b,1.6,13,-0.03417946820096676,2122,919,198
dz,mp3d,1.6,13,-0.04890360309750402,2122,919,198
dz,mp2a,1.6,12,-2.1643616219035335,2125,915,199
dz,mp2b,1.6,12,-2.1932703462115484,2125,915,199
dz,mp3b,1.6,12,-0.035119120530399756,2125,915,199
dz,mp3d,1.6,12,-0.04986576701420639,2125,915,199
dz,mp2a,1.6,11,-2.1663623452205476,2126,921,196
dz,mp2b,1.6,11,-2.1954804851671703,2126,921,196
dz,mp3b,1.6,11,-0.03580547313713084,2126,921,196
